timestamp[s] pos_x[m] pos_y[m] pos_z[m] rot_x rot_y rot_z rot_w quality
444.267 1.4402 -2.43957 -14.4243 -0.0129267 -0.0038311 0.735619 -0.677262 1
444.367 1.42823 -2.43583 -14.4263 -0.0137965 -0.00461746 0.735248 -0.677641 1
444.467 1.41892 -2.43295 -14.4286 -0.0134753 -0.00789205 0.734811 -0.678093 1
444.567 1.40897 -2.432 -14.4306 -0.0131301 -0.00824874 0.735845 -0.676973 1
444.667 1.39887 -2.43404 -14.4274 -0.0155156 -0.00538355 0.735758 -0.677045 1
444.767 1.39177 -2.43409 -14.4214 -0.0189161 -0.000479034 0.73515 -0.67764 1
444.867 1.38362 -2.43208 -14.4186 -0.0183826 0.00150388 0.734371 -0.678497 1
444.967 1.37315 -2.43533 -14.4139 -0.016897 0.00246477 0.736957 -0.675724 1
445.067 1.36331 -2.43659 -14.4094 -0.0180515 0.00417975 0.742004 -0.670139 1
445.167 1.3516 -2.43403 -14.4065 -0.0176183 0.00409088 0.747032 -0.664542 1
445.267 1.34026 -2.42909 -14.4071 -0.0198244 0.00356282 0.749585 -0.661602 1
445.367 1.32649 -2.42395 -14.4057 -0.0212099 0.0036109 0.751268 -0.659647 1
445.467 1.31061 -2.42144 -14.4053 -0.0186258 -0.00137497 0.750143 -0.661012 1
445.567 1.29331 -2.41489 -14.4012 -0.0136489 -0.00729214 0.743656 -0.668384 1
445.667 1.27716 -2.41267 -14.3963 -0.0138795 -0.00577665 0.738105 -0.674518 1
445.767 1.26262 -2.41618 -14.3896 -0.0252305 0.00389254 0.734434 -0.6782 1
445.868 1.24671 -2.41721 -14.38 -0.0359522 0.012261 0.731456 -0.68083 1
445.968 1.22885 -2.42058 -14.3759 -0.0312951 0.0122757 0.729186 -0.683489 1
446.068 1.20959 -2.42498 -14.3718 -0.0258983 0.00845137 0.727706 -0.685348 1
446.168 1.1865 -2.42667 -14.3629 -0.0203092 0.00421559 0.727803 -0.685472 1
446.268 1.16193 -2.42945 -14.3568 -0.018382 -0.00132444 0.730384 -0.682788 1
446.368 1.13718 -2.43053 -14.3505 -0.021234 -0.00265181 0.73513 -0.677588 1
446.468 1.11417 -2.4335 -14.3487 -0.021291 9.73936e-05 0.740429 -0.671797 1
446.568 1.09106 -2.43601 -14.3444 -0.0176462 -0.000907223 0.74815 -0.663294 1
446.668 1.06571 -2.43931 -14.3395 -0.00767912 -0.00715691 0.758079 -0.652078 1
446.768 1.04076 -2.44066 -14.3391 0.00234673 -0.0183819 0.769012 -0.638966 1
446.868 1.02737 -2.44095 -14.3411 0.00910219 -0.0229538 0.78254 -0.62211 1
446.968 1.02012 -2.44231 -14.35 0.00665265 -0.0148726 0.797512 -0.603083 1
447.068 1.01925 -2.43807 -14.3544 -0.00218145 -0.00750152 0.813122 -0.582041 1
447.168 1.02195 -2.43445 -14.356 -0.0109096 -0.00446982 0.82891 -0.559258 1
447.268 1.02307 -2.43328 -14.3582 -0.016368 -0.00479344 0.844788 -0.53483 1
447.368 1.02594 -2.4331 -14.3602 -0.0179765 -0.00596017 0.860563 -0.508992 1
447.468 1.02824 -2.43551 -14.3582 -0.0186704 -0.00674812 0.875222 -0.483314 1
447.568 1.03142 -2.44004 -14.3585 -0.019362 -0.00541286 0.889858 -0.455794 1
447.668 1.03235 -2.44431 -14.3578 -0.0237082 -0.00454876 0.903899 -0.427064 1
447.768 1.03151 -2.44412 -14.3568 -0.0329544 -0.00870857 0.915593 -0.400659 1
447.868 1.02699 -2.44648 -14.3584 -0.0413169 -0.0104581 0.923818 -0.380452 1
447.968 1.02311 -2.45184 -14.3589 -0.0431854 -0.0104126 0.930235 -0.364265 1
448.068 1.01617 -2.45889 -14.3569 -0.0374035 -0.00752083 0.936551 -0.34845 1
448.168 1.00461 -2.47192 -14.3593 -0.0314598 -0.00456566 0.94268 -0.33218 1
448.268 0.99321 -2.48647 -14.3643 -0.0292263 -0.00268747 0.949116 -0.313556 1
448.368 0.982791 -2.49951 -14.364 -0.0292838 -0.00789045 0.956201 -0.291135 1
448.468 0.972 -2.51666 -14.3669 -0.0280828 -0.0111754 0.963863 -0.26468 1
448.568 0.9574 -2.53242 -14.3675 -0.0273841 -0.00810228 0.971567 -0.235038 1
448.668 0.947301 -2.55082 -14.373 -0.0246546 0.00260899 0.978176 -0.206292 1
448.768 0.932784 -2.56627 -14.377 -0.0128599 0.0189746 0.984063 -0.176336 1
448.868 0.919735 -2.57942 -14.3855 -0.0131455 0.0193832 0.988931 -0.146514 1
448.968 0.905822 -2.5853 -14.3907 -0.0154916 0.0134687 0.993064 -0.115765 1
449.068 0.899923 -2.5923 -14.3944 -0.0158696 0.00951588 0.996138 -0.0858311 1
449.168 0.894405 -2.59883 -14.3979 -0.00945163 0.0130736 0.998293 -0.0561408 1
449.268 0.890521 -2.6033 -14.4008 -0.0092954 0.025842 0.999227 -0.0281275 1
449.368 0.889751 -2.60388 -14.405 -0.0120074 0.0226665 0.999671 -0.000203971 1
449.468 0.888955 -2.60309 -14.4143 -0.014071 0.0202183 0.999294 0.0283604 1
449.568 0.88785 -2.60066 -14.4163 -0.0144461 0.0213683 0.998163 0.0548239 1
449.668 0.886665 -2.59237 -14.4167 -0.0139304 0.0239076 0.996729 0.0759358 1
449.768 0.886951 -2.58067 -14.4135 -0.0132869 0.0232697 0.9954 0.0919825 1
449.868 0.889453 -2.56781 -14.4133 -0.0130592 0.0180975 0.9946 0.101356 1
449.963 0.894179 -2.55477 -14.4102 -0.0147021 0.0107036 0.994277 0.105269 1
450.063 0.896877 -2.53858 -14.4074 -0.0170499 0.000521071 0.994055 0.107535 1
450.163 0.899224 -2.52165 -14.4052 -0.0189267 -0.00507543 0.994359 0.10424 1
450.263 0.90078 -2.50931 -14.4058 -0.0179033 -0.00360254 0.995319 0.0949075 1
450.368 0.900724 -2.49663 -14.4101 -0.0163142 0.00170644 0.996217 0.0853404 1
450.468 0.902249 -2.48704 -14.4177 -0.0164755 0.00227753 0.996736 0.079003 1
450.568 0.904039 -2.47709 -14.4197 -0.0147357 0.00174799 0.997002 0.0759407 1
450.668 0.903568 -2.46963 -14.4224 -0.0142553 0.00201585 0.997105 0.0746568 1
450.768 0.904471 -2.4637 -14.4233 -0.0154369 0.00346284 0.997138 0.0739315 1
450.868 0.905908 -2.45879 -14.4233 -0.0171401 0.00718256 0.997135 0.0733305 1
450.968 0.908325 -2.45076 -14.4231 -0.0188936 0.0150304 0.997055 0.0727843 1
451.068 0.911171 -2.44109 -14.4288 -0.0185211 0.0195542 0.997061 0.0717147 1
451.168 0.915717 -2.4284 -14.431 -0.01566 0.0221712 0.997093 0.0711948 1
451.268 0.920108 -2.4143 -14.431 -0.0146222 0.0204653 0.997183 0.0706642 1
451.368 0.923664 -2.39476 -14.429 -0.0152366 0.0131084 0.997398 0.06923 1
451.468 0.931369 -2.37199 -14.4287 -0.0166071 0.00781607 0.997788 0.0638948 1
451.568 0.935141 -2.35051 -14.4251 -0.0176829 0.00522803 0.998097 0.0588381 1
451.668 0.936055 -2.32738 -14.4245 -0.0165598 0.00330575 0.998258 0.0565276 1
451.768 0.937706 -2.30801 -14.4231 -0.0165402 0.00172587 0.9984 0.0540478 1
451.868 0.939991 -2.29066 -14.4188 -0.0188976 0.00134393 0.998449 0.0523559 1
